2026-03-06 12:21:44 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-06 12:21:44 | ERROR    | bot.client | HTTP error: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:21:44 | ERROR    | __main__ | Order placement failed: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:21:57 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.002 price=None stop_price=75000.0
2026-03-06 12:21:57 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:21:57 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:21:57 | DEBUG    | bot.client | Server time sync: offset=-5366ms
2026-03-06 12:21:57 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5366ms)
2026-03-06 12:21:57 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '75000'}
2026-03-06 12:21:57 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '75000', 'timestamp': 1772779912560, 'recvWindow': 5000, 'signature': '13b6379ce7e74d17abef45f01d985f885870b1e957f0bde2fea348519a14178f'}
2026-03-06 12:21:58 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=STOP_MARKET&quantity=0.002&stopPrice=75000&timestamp=1772779912560&recvWindow=5000&signature=13b6379ce7e74d17abef45f01d985f885870b1e957f0bde2fea348519a14178f HTTP/1.1" 400 115
2026-03-06 12:21:58 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-06 12:21:58 | ERROR    | bot.client | HTTP error: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:21:58 | ERROR    | __main__ | Order placement failed: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:23:19 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=BUY type=STOP qty=0.002 price=90000.0 stop_price=91000.0
2026-03-06 12:23:19 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:23:20 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:23:20 | DEBUG    | bot.client | Server time sync: offset=-5349ms
2026-03-06 12:23:20 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5349ms)
2026-03-06 12:23:20 | INFO     | bot.orders | Placing STOP-LIMIT order | symbol=BTCUSDT side=BUY qty=0.002 price=90000 stopPrice=91000
2026-03-06 12:23:20 | INFO     | bot.client | Placing algo order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.002', 'price': '90000', 'stopPrice': '91000', 'timeInForce': 'GTC'}
2026-03-06 12:23:20 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order/algo | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.002', 'price': '90000', 'stopPrice': '91000', 'timeInForce': 'GTC', 'timestamp': 1772779995362, 'recvWindow': 5000, 'signature': 'e6a2b3c0c87ceb64c840977bb5348be1c64f3b57262741ad1ae31c78217f6640'}
